model,facet,method,images_evaluated,support,threshold,threshold_sd,project_threshold,precision,recall,f1,accuracy,uniform_f1,vocabulary_version,sweep_start,sweep_stop,sweep_step
CLIP,scene_type,argmax,107,107,,,,,,,0.7944,,1.1,,,
CLIP,shot_type,argmax,107,107,,,,,,,0.6262,,1.1,,,
CLIP,people,leave_one_out_threshold,107,107,0.248,0.0008,0.24,0.8411,0.8411,0.8411,,0.8411,1.1,0.15,0.4,0.002
CLIP,room,leave_one_out_threshold,27,27,0.2257,0.0015,0.24,0.5185,0.5185,0.5185,,0.5556,1.1,0.15,0.4,0.002
CLIP,structure,leave_one_out_threshold,31,34,0.2646,0.0057,0.24,0.4118,0.4118,0.4118,,0.4182,1.1,0.15,0.4,0.002
CLIP,orientation,leave_one_out_threshold,16,11,0.1775,0.0093,0.24,0.1379,0.7273,0.2319,,0.0909,1.1,0.15,0.4,0.002
CLIP,activity,leave_one_out_threshold,16,17,0.2603,0.001,0.26,0.6,0.3529,0.4444,,0.5,1.1,0.15,0.4,0.002
CLIP,nature,leave_one_out_threshold,107,190,0.212,0.0,0.212,0.397,0.6895,0.5038,,0.5038,1.1,0.15,0.4,0.002
CLIP,condition,leave_one_out_threshold,107,128,0.2279,0.0048,0.24,0.4274,0.4141,0.4206,,0.451,1.1,0.15,0.4,0.002
SIGLIP,scene_type,argmax,107,107,,,,,,,0.8598,,1.1,,,
SIGLIP,shot_type,argmax,107,107,,,,,,,0.6168,,1.1,,,
SIGLIP,people,leave_one_out_threshold,107,107,0.0448,0.0014,0.24,0.9159,0.9159,0.9159,,0.8505,1.1,-1.0,1.0,0.005
SIGLIP,room,leave_one_out_threshold,27,27,-0.0507,0.1872,0.24,0.3333,0.3333,0.3333,,0.1111,1.1,-1.0,1.0,0.005
SIGLIP,structure,leave_one_out_threshold,31,34,0.0505,0.0015,0.24,0.2911,0.6765,0.4071,,0.0,1.1,-1.0,1.0,0.005
SIGLIP,orientation,leave_one_out_threshold,16,11,-0.04,0.0,0.24,0.2,1.0,0.3333,,0.0,1.1,-1.0,1.0,0.005
SIGLIP,activity,leave_one_out_threshold,16,17,0.0647,0.0012,0.26,0.6923,0.5294,0.6,,0.0,1.1,-1.0,1.0,0.005
SIGLIP,nature,leave_one_out_threshold,107,190,0.0202,0.0015,0.212,0.3644,0.7,0.4793,,0.0,1.1,-1.0,1.0,0.005
SIGLIP,condition,leave_one_out_threshold,107,128,0.01,0.0,0.24,0.4581,0.5547,0.5018,,0.0,1.1,-1.0,1.0,0.005
