image_uid,file_name,category,confidence,is_primary
c42a596d132d17ad,1964 extension basis.jpg,Antarctic hut restoration or construction work,0.99168,True
c42a596d132d17ad,1964 extension basis.jpg,people outdoors at an Antarctic heritage site,0.00751,False
c42a596d132d17ad,1964 extension basis.jpg,interior of a historic Antarctic hut,0.00045,False
3382eeae20dd56d2,1964 extension.jpg,Antarctic hut restoration or construction work,0.97181,True
3382eeae20dd56d2,1964 extension.jpg,historic Antarctic building exterior,0.01897,False
3382eeae20dd56d2,1964 extension.jpg,"building detail such as a wall, roof, window or door",0.00369,False
9714d7b24a105173,a Cat IMG_5781 50_.jpg,condition survey or conservation record,0.39858,True
9714d7b24a105173,a Cat IMG_5781 50_.jpg,people working or socialising indoors,0.31031,False
9714d7b24a105173,a Cat IMG_5781 50_.jpg,interior of a historic Antarctic hut,0.10672,False
a3b71157b0c47fef,a Cat IMG_5781 50_1.jpg,condition survey or conservation record,0.39858,True
a3b71157b0c47fef,a Cat IMG_5781 50_1.jpg,people working or socialising indoors,0.31031,False
a3b71157b0c47fef,a Cat IMG_5781 50_1.jpg,interior of a historic Antarctic hut,0.10672,False
afea14ad064de498,a Cat IMG_7551-Optimized.JPG,people outdoors at an Antarctic heritage site,0.38284,True
afea14ad064de498,a Cat IMG_7551-Optimized.JPG,Antarctic hut restoration or construction work,0.27615,False
afea14ad064de498,a Cat IMG_7551-Optimized.JPG,interior of a historic Antarctic hut,0.1341,False
9a90729bec376e5d,a Cat IMG_7551-Optimized1.JPG,people outdoors at an Antarctic heritage site,0.38284,True
9a90729bec376e5d,a Cat IMG_7551-Optimized1.JPG,Antarctic hut restoration or construction work,0.27615,False
9a90729bec376e5d,a Cat IMG_7551-Optimized1.JPG,interior of a historic Antarctic hut,0.1341,False
b6720402f96912ee,a Cat IMG_7551.JPG,people outdoors at an Antarctic heritage site,0.4031,True
b6720402f96912ee,a Cat IMG_7551.JPG,Antarctic hut restoration or construction work,0.21215,False
b6720402f96912ee,a Cat IMG_7551.JPG,historic Antarctic building exterior,0.21195,False
d9bb875e3424de6a,A1b10a.jpg,historic artefact close-up,0.65529,True
d9bb875e3424de6a,A1b10a.jpg,condition survey or conservation record,0.21755,False
d9bb875e3424de6a,A1b10a.jpg,scientific instrument or technical equipment,0.07945,False
e595310773fec038,A1b9a.jpg,condition survey or conservation record,0.67091,True
e595310773fec038,A1b9a.jpg,historic artefact close-up,0.30436,False
e595310773fec038,A1b9a.jpg,scientific instrument or technical equipment,0.02034,False
045b9242605636b2,A1b9b.jpg,condition survey or conservation record,0.46466,True
045b9242605636b2,A1b9b.jpg,historic artefact close-up,0.45605,False
045b9242605636b2,A1b9b.jpg,scientific instrument or technical equipment,0.06778,False
0d2aac4460187142,A1b9c.jpg,historic artefact close-up,0.85105,True
0d2aac4460187142,A1b9c.jpg,scientific instrument or technical equipment,0.07677,False
