facet,threshold,precision,recall,f1
structure,0.15,0.1429,1.0,0.25
structure,0.152,0.1429,1.0,0.25
structure,0.154,0.1429,1.0,0.25
structure,0.156,0.1429,1.0,0.25
structure,0.158,0.1429,1.0,0.25
structure,0.16,0.1429,1.0,0.25
structure,0.162,0.1429,1.0,0.25
structure,0.164,0.1463,1.0,0.2553
structure,0.166,0.1463,1.0,0.2553
structure,0.168,0.1463,1.0,0.2553
structure,0.17,0.1463,1.0,0.2553
structure,0.172,0.1463,1.0,0.2553
structure,0.174,0.1463,1.0,0.2553
structure,0.176,0.15,1.0,0.2609
structure,0.178,0.15,1.0,0.2609
structure,0.18,0.15,1.0,0.2609
structure,0.182,0.1538,1.0,0.2667
structure,0.184,0.1538,1.0,0.2667
structure,0.186,0.1538,1.0,0.2667
structure,0.188,0.1579,1.0,0.2727
structure,0.19,0.1622,1.0,0.2791
structure,0.192,0.1667,1.0,0.2857
structure,0.194,0.1667,1.0,0.2857
structure,0.196,0.1667,1.0,0.2857
structure,0.198,0.1667,1.0,0.2857
structure,0.2,0.1714,1.0,0.2927
structure,0.202,0.1765,1.0,0.3
structure,0.204,0.1765,1.0,0.3
structure,0.206,0.1765,1.0,0.3
structure,0.208,0.1818,1.0,0.3077
structure,0.21,0.1875,1.0,0.3158
structure,0.212,0.1875,1.0,0.3158
structure,0.214,0.1935,1.0,0.3243
structure,0.216,0.1724,0.8333,0.2857
structure,0.218,0.1786,0.8333,0.2941
structure,0.22,0.1852,0.8333,0.303
structure,0.222,0.1923,0.8333,0.3125
structure,0.224,0.1923,0.8333,0.3125
structure,0.226,0.2,0.8333,0.3226
structure,0.228,0.2083,0.8333,0.3333
structure,0.23,0.2174,0.8333,0.3448
structure,0.232,0.2273,0.8333,0.3571
structure,0.234,0.25,0.8333,0.3846
structure,0.236,0.25,0.8333,0.3846
structure,0.238,0.2632,0.8333,0.4
structure,0.24,0.2353,0.6667,0.3478
structure,0.242,0.1875,0.5,0.2727
structure,0.244,0.1875,0.5,0.2727
structure,0.246,0.1875,0.5,0.2727
structure,0.248,0.2308,0.5,0.3158
structure,0.25,0.2308,0.5,0.3158
structure,0.252,0.2308,0.5,0.3158
structure,0.254,0.25,0.5,0.3333
structure,0.256,0.2727,0.5,0.3529
structure,0.258,0.3,0.5,0.375
structure,0.26,0.3,0.5,0.375
structure,0.262,0.3,0.5,0.375
structure,0.264,0.3,0.5,0.375
structure,0.266,0.4286,0.5,0.4615
structure,0.268,0.4,0.3333,0.3636
structure,0.27,0.25,0.1667,0.2
structure,0.272,0.3333,0.1667,0.2222
structure,0.274,0.3333,0.1667,0.2222
structure,0.276,0.3333,0.1667,0.2222
structure,0.278,0.3333,0.1667,0.2222
structure,0.28,0.3333,0.1667,0.2222
structure,0.282,0.3333,0.1667,0.2222
structure,0.284,0.5,0.1667,0.25
structure,0.286,0.5,0.1667,0.25
structure,0.288,0.5,0.1667,0.25
structure,0.29,0.5,0.1667,0.25
structure,0.292,0.5,0.1667,0.25
structure,0.294,1.0,0.1667,0.2857
structure,0.296,1.0,0.1667,0.2857
structure,0.298,1.0,0.1667,0.2857
structure,0.3,1.0,0.1667,0.2857
structure,0.302,0.0,0.0,0.0
structure,0.304,0.0,0.0,0.0
structure,0.306,0.0,0.0,0.0
structure,0.308,0.0,0.0,0.0
structure,0.31,0.0,0.0,0.0
structure,0.312,0.0,0.0,0.0
structure,0.314,0.0,0.0,0.0
structure,0.316,0.0,0.0,0.0
structure,0.318,0.0,0.0,0.0
structure,0.32,0.0,0.0,0.0
structure,0.322,0.0,0.0,0.0
structure,0.324,0.0,0.0,0.0
structure,0.326,0.0,0.0,0.0
structure,0.328,0.0,0.0,0.0
structure,0.33,0.0,0.0,0.0
structure,0.332,0.0,0.0,0.0
structure,0.334,0.0,0.0,0.0
structure,0.336,0.0,0.0,0.0
structure,0.338,0.0,0.0,0.0
structure,0.34,0.0,0.0,0.0
structure,0.342,0.0,0.0,0.0
structure,0.344,0.0,0.0,0.0
structure,0.346,0.0,0.0,0.0
structure,0.348,0.0,0.0,0.0
structure,0.35,0.0,0.0,0.0
structure,0.352,0.0,0.0,0.0
structure,0.354,0.0,0.0,0.0
structure,0.356,0.0,0.0,0.0
structure,0.358,0.0,0.0,0.0
structure,0.36,0.0,0.0,0.0
structure,0.362,0.0,0.0,0.0
structure,0.364,0.0,0.0,0.0
structure,0.366,0.0,0.0,0.0
structure,0.368,0.0,0.0,0.0
structure,0.37,0.0,0.0,0.0
structure,0.372,0.0,0.0,0.0
structure,0.374,0.0,0.0,0.0
structure,0.376,0.0,0.0,0.0
structure,0.378,0.0,0.0,0.0
structure,0.38,0.0,0.0,0.0
structure,0.382,0.0,0.0,0.0
structure,0.384,0.0,0.0,0.0
structure,0.386,0.0,0.0,0.0
structure,0.388,0.0,0.0,0.0
structure,0.39,0.0,0.0,0.0
structure,0.392,0.0,0.0,0.0
structure,0.394,0.0,0.0,0.0
structure,0.396,0.0,0.0,0.0
structure,0.398,0.0,0.0,0.0
structure,0.4,0.0,0.0,0.0
orientation,0.15,0.0833,1.0,0.1538
orientation,0.152,0.0833,1.0,0.1538
orientation,0.154,0.0833,1.0,0.1538
orientation,0.156,0.0833,1.0,0.1538
orientation,0.158,0.0833,1.0,0.1538
orientation,0.16,0.0833,1.0,0.1538
orientation,0.162,0.0833,1.0,0.1538
orientation,0.164,0.0833,1.0,0.1538
orientation,0.166,0.0833,1.0,0.1538
orientation,0.168,0.0833,1.0,0.1538
orientation,0.17,0.0833,1.0,0.1538
orientation,0.172,0.0833,1.0,0.1538
orientation,0.174,0.0833,1.0,0.1538
orientation,0.176,0.0833,1.0,0.1538
orientation,0.178,0.0833,1.0,0.1538
orientation,0.18,0.0833,1.0,0.1538
orientation,0.182,0.0833,1.0,0.1538
orientation,0.184,0.0833,1.0,0.1538
orientation,0.186,0.0833,1.0,0.1538
orientation,0.188,0.0909,1.0,0.1667
orientation,0.19,0.1,1.0,0.1818
orientation,0.192,0.1,1.0,0.1818
orientation,0.194,0.1,1.0,0.1818
orientation,0.196,0.1111,1.0,0.2
orientation,0.198,0.1111,1.0,0.2
orientation,0.2,0.1111,1.0,0.2
orientation,0.202,0.1111,1.0,0.2
orientation,0.204,0.1111,1.0,0.2
orientation,0.206,0.0,0.0,0.0
orientation,0.208,0.0,0.0,0.0
orientation,0.21,0.0,0.0,0.0
orientation,0.212,0.0,0.0,0.0
orientation,0.214,0.0,0.0,0.0
orientation,0.216,0.0,0.0,0.0
orientation,0.218,0.0,0.0,0.0
orientation,0.22,0.0,0.0,0.0
orientation,0.222,0.0,0.0,0.0
orientation,0.224,0.0,0.0,0.0
orientation,0.226,0.0,0.0,0.0
orientation,0.228,0.0,0.0,0.0
orientation,0.23,0.0,0.0,0.0
orientation,0.232,0.0,0.0,0.0
orientation,0.234,0.0,0.0,0.0
orientation,0.236,0.0,0.0,0.0
orientation,0.238,0.0,0.0,0.0
orientation,0.24,0.0,0.0,0.0
orientation,0.242,0.0,0.0,0.0
orientation,0.244,0.0,0.0,0.0
orientation,0.246,0.0,0.0,0.0
orientation,0.248,0.0,0.0,0.0
orientation,0.25,0.0,0.0,0.0
orientation,0.252,0.0,0.0,0.0
orientation,0.254,0.0,0.0,0.0
orientation,0.256,0.0,0.0,0.0
orientation,0.258,0.0,0.0,0.0
orientation,0.26,0.0,0.0,0.0
orientation,0.262,0.0,0.0,0.0
orientation,0.264,0.0,0.0,0.0
orientation,0.266,0.0,0.0,0.0
orientation,0.268,0.0,0.0,0.0
orientation,0.27,0.0,0.0,0.0
orientation,0.272,0.0,0.0,0.0
orientation,0.274,0.0,0.0,0.0
orientation,0.276,0.0,0.0,0.0
orientation,0.278,0.0,0.0,0.0
orientation,0.28,0.0,0.0,0.0
orientation,0.282,0.0,0.0,0.0
orientation,0.284,0.0,0.0,0.0
orientation,0.286,0.0,0.0,0.0
orientation,0.288,0.0,0.0,0.0
orientation,0.29,0.0,0.0,0.0
orientation,0.292,0.0,0.0,0.0
orientation,0.294,0.0,0.0,0.0
orientation,0.296,0.0,0.0,0.0
orientation,0.298,0.0,0.0,0.0
orientation,0.3,0.0,0.0,0.0
orientation,0.302,0.0,0.0,0.0
orientation,0.304,0.0,0.0,0.0
orientation,0.306,0.0,0.0,0.0
orientation,0.308,0.0,0.0,0.0
orientation,0.31,0.0,0.0,0.0
orientation,0.312,0.0,0.0,0.0
orientation,0.314,0.0,0.0,0.0
orientation,0.316,0.0,0.0,0.0
orientation,0.318,0.0,0.0,0.0
orientation,0.32,0.0,0.0,0.0
orientation,0.322,0.0,0.0,0.0
orientation,0.324,0.0,0.0,0.0
orientation,0.326,0.0,0.0,0.0
orientation,0.328,0.0,0.0,0.0
orientation,0.33,0.0,0.0,0.0
orientation,0.332,0.0,0.0,0.0
orientation,0.334,0.0,0.0,0.0
orientation,0.336,0.0,0.0,0.0
orientation,0.338,0.0,0.0,0.0
orientation,0.34,0.0,0.0,0.0
orientation,0.342,0.0,0.0,0.0
orientation,0.344,0.0,0.0,0.0
orientation,0.346,0.0,0.0,0.0
orientation,0.348,0.0,0.0,0.0
orientation,0.35,0.0,0.0,0.0
orientation,0.352,0.0,0.0,0.0
orientation,0.354,0.0,0.0,0.0
orientation,0.356,0.0,0.0,0.0
orientation,0.358,0.0,0.0,0.0
orientation,0.36,0.0,0.0,0.0
orientation,0.362,0.0,0.0,0.0
orientation,0.364,0.0,0.0,0.0
orientation,0.366,0.0,0.0,0.0
orientation,0.368,0.0,0.0,0.0
orientation,0.37,0.0,0.0,0.0
orientation,0.372,0.0,0.0,0.0
orientation,0.374,0.0,0.0,0.0
orientation,0.376,0.0,0.0,0.0
orientation,0.378,0.0,0.0,0.0
orientation,0.38,0.0,0.0,0.0
orientation,0.382,0.0,0.0,0.0
orientation,0.384,0.0,0.0,0.0
orientation,0.386,0.0,0.0,0.0
orientation,0.388,0.0,0.0,0.0
orientation,0.39,0.0,0.0,0.0
orientation,0.392,0.0,0.0,0.0
orientation,0.394,0.0,0.0,0.0
orientation,0.396,0.0,0.0,0.0
orientation,0.398,0.0,0.0,0.0
orientation,0.4,0.0,0.0,0.0
activity,0.15,0.1304,1.0,0.2308
activity,0.152,0.1304,1.0,0.2308
activity,0.154,0.1304,1.0,0.2308
activity,0.156,0.1364,1.0,0.24
activity,0.158,0.1364,1.0,0.24
activity,0.16,0.1364,1.0,0.24
activity,0.162,0.1429,1.0,0.25
activity,0.164,0.1429,1.0,0.25
activity,0.166,0.1429,1.0,0.25
activity,0.168,0.1429,1.0,0.25
activity,0.17,0.1429,1.0,0.25
activity,0.172,0.1429,1.0,0.25
activity,0.174,0.1429,1.0,0.25
activity,0.176,0.1429,1.0,0.25
activity,0.178,0.1429,1.0,0.25
activity,0.18,0.1429,1.0,0.25
activity,0.182,0.1429,1.0,0.25
activity,0.184,0.1429,1.0,0.25
activity,0.186,0.15,1.0,0.2609
activity,0.188,0.15,1.0,0.2609
activity,0.19,0.1579,1.0,0.2727
activity,0.192,0.1579,1.0,0.2727
activity,0.194,0.1579,1.0,0.2727
activity,0.196,0.1579,1.0,0.2727
activity,0.198,0.1579,1.0,0.2727
activity,0.2,0.125,0.6667,0.2105
activity,0.202,0.125,0.6667,0.2105
activity,0.204,0.125,0.6667,0.2105
activity,0.206,0.1333,0.6667,0.2222
activity,0.208,0.1538,0.6667,0.25
activity,0.21,0.1538,0.6667,0.25
activity,0.212,0.1538,0.6667,0.25
activity,0.214,0.1538,0.6667,0.25
activity,0.216,0.1818,0.6667,0.2857
activity,0.218,0.1818,0.6667,0.2857
activity,0.22,0.2222,0.6667,0.3333
activity,0.222,0.2222,0.6667,0.3333
activity,0.224,0.2222,0.6667,0.3333
activity,0.226,0.2222,0.6667,0.3333
