image_uid,file_name,uncertainty_score,confidence_component,quality_component,agreement_component,novelty_component,terms_corroborated,terms_checked,has_description,has_quality,review_recommended,reason,vocabulary_version
200af01154004118ae8397eb3fe5f15e,P7630236 (Large).jpg,0.2572,0.3157,0.0236,0.3333,0.28,2,3,True,True,False,The assigned terms are well supported across all measures.,1.0
5d9d6ca54cfb4308b7ca3ec6cd105dfb,P7630258 (Large).JPG,0.3326,0.4349,0.05,0.4,0.336,3,5,True,True,False,The assigned terms are well supported across all measures.,1.0
670ee9cd37b646358e8b1cd55fc22957,P7630259 (Large).JPG,0.2865,0.4107,0.0461,0.25,0.39,3,4,True,True,False,The assigned terms are well supported across all measures.,1.0
bc173a734aaf4bfda01eb017594a2f6e,P7630260 (Large).JPG,0.1577,0.154,0.2033,0.0,0.4211,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
9937c64b77dc4232987c98f864d01132,P7630262 (Large).JPG,0.4648,0.575,0.4054,0.3333,0.5496,2,3,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
4a364c61c595499283bd9b8123ffde34,P7630263 (Large).JPG,0.3065,0.5161,0.2544,0.25,0.0,3,4,True,True,False,The assigned terms are well supported across all measures.,1.0
3c02cda285564ef1823982848b393b9d,P7630264 (Large).JPG,0.3095,0.5145,0.309,0.0,0.4507,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
c126d76ddd624a4b84f3d1924a85aba6,P7630265 (Large).JPG,0.411,0.7075,0.5627,0.0,0.3387,3,3,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
fb81dff770d24db5a73faaa93d5a0c8a,P7630266 (Large).JPG,0.5188,0.865,0.2977,0.4,0.2432,3,5,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
fb62451110a343288e8cdb2209dccc24,P7630267 (Large).JPG,0.19,0.4483,0.0285,0.0,0.1829,3,3,True,True,False,The assigned terms are well supported across all measures.,1.0
57e02a40a424473589ca195bb2ec3e93,P7630268 (Large).JPG,0.4527,0.6872,0.1385,0.5,0.2297,2,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
fe34bb2db9ba4f3cadc2954b0c0c0755,P7630273 (Large).jpg,0.1965,0.3706,0.3341,0.0,0.0,3,3,True,True,False,The assigned terms are well supported across all measures.,1.0
0c273363d58540809461bdf6135c5204,P7630276 (Large).JPG,0.3787,0.5911,0.2668,0.25,0.2897,3,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
9c6380a93cde4ad892d317a58c13140a,Port Lockroy 24th April 2020 JNH (1) (Large).jpg,0.2332,0.4769,0.0427,0.0,0.3847,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
dab76884b75d4230b9960928e4465bed,Port Lockroy 24th April 2020 JNH (10) (Large).jpg,0.2926,0.3554,0.5235,0.0,0.4235,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
1a4b67bd332d4483805df0ee0b2e4d85,Port Lockroy 24th April 2020 JNH (11) (Large).jpg,0.32,0.2153,0.4831,0.25,0.487,3,4,True,True,False,The assigned terms are well supported across all measures.,1.0
6986f22fa1c04ab9a3d6db65fda27ace,Port Lockroy 24th April 2020 JNH (12) (Large).jpg,0.2833,0.1662,0.4362,0.25,0.4193,3,4,True,True,False,The assigned terms are well supported across all measures.,1.0
53405c54172846748fec3f6aeb6edeb4,Port Lockroy 24th April 2020 JNH (13) (Large).jpg,0.1487,0.0,0.3207,0.0,0.5637,3,3,True,True,False,The assigned terms are well supported across all measures.,1.0
21b9b3a1b7294793a76cc65df735591c,Port Lockroy 24th April 2020 JNH (14) (Large).jpg,0.4982,0.7386,0.5376,0.25,0.3811,3,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
619fe62e2ed5423e95ac36afd4bb7e2e,Port Lockroy 24th April 2020 JNH (16) (Large).jpg,0.3971,0.0307,0.53,0.6667,0.5359,1,3,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
e7f65c6c252545ea8cef06064ce2fdb2,Port Lockroy 24th April 2020 JNH (17) (Large).jpg,0.3827,0.3176,0.486,0.3333,0.4954,2,3,True,True,False,Chiefly because the image differs markedly from those used to establish the terms.,1.0
09d4c922817b4b5cb00ea8831b3f36cf,Port Lockroy 24th April 2020 JNH (18) (Large).jpg,0.5528,0.3266,0.8183,0.6667,0.4988,1,3,True,True,True,"Chiefly because the image is soft or poorly exposed, limiting what can be assigned, and the generated description does not corroborate the assigned terms.",1.0
eea67b611f824e82bdc8e52f498a10f1,Port Lockroy 24th April 2020 JNH (19) (Large).jpg,0.4652,0.377,0.5608,0.5,0.4742,2,4,True,True,False,"Chiefly because the image is soft or poorly exposed, limiting what can be assigned.",1.0
62b88133cd2647e59213f3238f35b76e,Port Lockroy 24th April 2020 JNH (2) (Large).jpg,0.3094,0.4577,0.0222,0.3333,0.2987,2,3,True,True,False,The assigned terms are well supported across all measures.,1.0
24109e2aa1294d86bdcfbd71e463b00d,Port Lockroy 24th April 2020 JNH (20) (Large).jpg,0.3507,0.1099,0.598,0.3333,0.6176,2,3,True,True,False,Chiefly because the image differs markedly from those used to establish the terms.,1.0
c75b3142e8c7402ca175ae51766d9219,Port Lockroy 24th April 2020 JNH (21) (Large).jpg,0.372,0.3625,0.435,0.25,0.5545,3,4,True,True,False,Chiefly because the image differs markedly from those used to establish the terms.,1.0
b506c7d0d59043399268f93ff1b06ba5,Port Lockroy 24th April 2020 JNH (22) (Large).jpg,0.2808,0.2098,0.66,0.0,0.5022,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
9dc363e511da4f7bbf43c20b53e77811,Port Lockroy 24th April 2020 JNH (23) (Large).jpg,0.2747,0.2444,0.6504,0.0,0.394,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
bf47e0b0fb6c4e3588ea61dc1e8803b8,Port Lockroy 24th April 2020 JNH (24) (Large).jpg,0.3305,0.3517,0.6351,0.0,0.5361,3,3,True,True,False,The assigned terms are well supported across all measures.,1.0
205d65e906924e6fa9c4e7fc283c6cb5,Port Lockroy 24th April 2020 JNH (25) (Large).jpg,0.4553,0.4848,0.6309,0.3333,0.3963,2,3,True,True,False,"Chiefly because the image is soft or poorly exposed, limiting what can be assigned.",1.0
322fedeada3f4776a6371852946cbd55,Port Lockroy 24th April 2020 JNH (26) (Large).jpg,0.3145,0.4167,0.4663,0.0,0.5028,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
b757e68e5cbc499594a29f2011cb3a0b,Port Lockroy 24th April 2020 JNH (27) (Large).jpg,0.3562,0.4006,0.707,0.0,0.4972,4,4,True,True,False,"Chiefly because the image is soft or poorly exposed, limiting what can be assigned.",1.0
e8a4c080efc8422a8147bbf433bd554c,Port Lockroy 24th April 2020 JNH (28) (Large).jpg,0.6486,0.5947,0.6249,0.75,0.6031,1,4,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the image is soft or poorly exposed, limiting what can be assigned.",1.0
