index,block,annotator,file_name,scene_type,room,structure,people,orientation,activity,nature,condition,shot_type,object_tags,missing_terms,hesitation,notes,image_uid
1,shared,saisha,P7630236 (Large).jpg,exterior,,main_hut|outbuilding|radio_tower,no_people,,,snow|open_water|exposed_rock|mountains|coastline|overcast,weathered_timber,wide,roof|wall|window|door,,,,62931cac9c104adc9de294f5d89a3c9f
2,shared,saisha,20121121-DSC_0811 FK.jpg,interior,workshop,,no_people,,,,sound,medium,wall|hand tool|hammer|saw|workbench|crate,,,,691780a248134d1b916a61fae09854d4
3,shared,saisha,A1e9 (2).jpg,object_study,,,no_people,,,,rust|object_wear,detail,mechanical component,,rust and object_wear both present; recorded both,,53d0dfc867114fb497adf3efad46de92
4,shared,saisha,a Cat IMG_7551.JPG,exterior,,main_hut,no_people,,,penguin|snow|open_water|overcast,weathered_timber,wide,roof|wall|window|door|timber cladding,,,,f9a1edbad1e543b2ab909263ca139272
5,shared,saisha,Extension disappears.jpg,exterior,,main_hut|outbuilding,no_people,,,snow|open_water|exposed_rock|mountains|coastline|clear_sky,weathered_timber,wide,roof|wall|window|timber cladding|crate,,,,286fe4c5b15745efbcacc7987baf531b
6,shared,saisha,Snow arrives.jpg,exterior,,main_hut|outbuilding,no_people,,,snow|exposed_rock|mountains|overcast,weathered_timber,wide,roof|wall|window,,,,3f81ebc8e4bf4a15b02557bb5ebade9c
7,shared,saisha,A1c252_10.jpg,object_study,,,no_people,,,,sound,detail,,no term for spoon,,,65443e960c56416a99558308aa2a0972
8,shared,saisha,Building the new bar.jpg,interior,workshop,,two_people,side_on,working,,sound,wide,hand tool|hammer|saw|workbench|machinery,,,,ce69df0e7b4e447687adc15c0a9adf85
9,shared,saisha,A1b8_1.jpg,object_study,,,no_people,,,,rust|object_wear,detail,mechanical component,,rust and object_wear both present; recorded both,,0b484942c29a4439a629faf9f6cd9378
10,shared,saisha,Port Lockroy 24th April 2020 JNH (4) (Large).jpg,exterior,,main_hut,no_people,,,snow|exposed_rock|overcast,weathered_timber|paint_loss,medium,roof|wall|window|door|doorway|steps|walkway,,weathered_timber and paint_loss both present; recorded both,,f32fd60df35442858619a3a14a114216
11,shared,saisha,BitumenBoatShedDSC02535.JPG,exterior,,main_hut,group,facing_camera|back_to_camera,working,snow|overcast,weathered_timber|paint_loss,medium,roof|wall|window|door|ladder|paint tin|clothing|glove|hat,,weathered_timber and paint_loss both present; recorded both,,a92c0ab3fff64a8483328326e794f717
12,shared,saisha,S7R08546.JPG,landscape,,,no_people,,,snow|exposed_rock|clear_sky,weathered_timber,medium,,no term for pallet,,,c78332a078d34c3f903b40f148263850
13,shared,saisha,Lounge scrubout.jpg,interior,living_room,,two_people,back_to_camera|side_on,working,,sound,medium,wall|window|chair|table|furniture,no term for bucket,,,5e5e412d3500410395758daecc271570
14,shared,saisha,DSC_0539.JPG,object_study,,,no_people,,,penguin,sound,medium,,,,,4a6316fe0027477484ca4c650c92d480
15,shared,saisha,Writing survey report.jpg,interior,room_unknown,,person_alone,side_on,reading_writing,,sound,medium,book|paper record|document|table|furniture,,,,ba8bc24af8c14d97afeb7893ac92c0b9
