row_index,image_uid,file_name,relative_path,file_hash,model
0,200af01154004118ae8397eb3fe5f15e,P7630236 (Large).jpg,3rdParty_A_2020_Copyright_JNH/JNH/P7630236 (Large).jpg,592e44e17a22cca269e59f953328de7492774d481e13b9e25b7e4667c2051203,openai/clip-vit-base-patch32
1,5d9d6ca54cfb4308b7ca3ec6cd105dfb,P7630258 (Large).JPG,3rdParty_A_2020_Copyright_JNH/JNH/P7630258 (Large).JPG,7fe7582621a21a553b14bd7551454654dd5005c5924e7f6f0f2a0fd76704f095,openai/clip-vit-base-patch32
2,670ee9cd37b646358e8b1cd55fc22957,P7630259 (Large).JPG,3rdParty_A_2020_Copyright_JNH/JNH/P7630259 (Large).JPG,2a311c366d51c21a475f7f92460a140b8025815fb6ff7ba8f52f97784a26971b,openai/clip-vit-base-patch32
3,bc173a734aaf4bfda01eb017594a2f6e,P7630260 (Large).JPG,3rdParty_A_2020_Copyright_JNH/JNH/P7630260 (Large).JPG,584844c77cb39cabe546100de2f624adf80e4d30264d3d453930e10beaa05611,openai/clip-vit-base-patch32
4,9937c64b77dc4232987c98f864d01132,P7630262 (Large).JPG,3rdParty_A_2020_Copyright_JNH/JNH/P7630262 (Large).JPG,87cce74fb58221877af05a1838516c5400f95dfe674cdc7626c665a2f502389f,openai/clip-vit-base-patch32
5,4a364c61c595499283bd9b8123ffde34,P7630263 (Large).JPG,3rdParty_A_2020_Copyright_JNH/JNH/P7630263 (Large).JPG,9b9b769df4b249c99fdf39ef35a75dfd8efb8a9b7f46d2c8c1800a8d5a66d514,openai/clip-vit-base-patch32
6,3c02cda285564ef1823982848b393b9d,P7630264 (Large).JPG,3rdParty_A_2020_Copyright_JNH/JNH/P7630264 (Large).JPG,6b755d7f5624e618fffcbff7fd9d11cf5ea2d94762023c8bf84e4e42dba235d9,openai/clip-vit-base-patch32
7,c126d76ddd624a4b84f3d1924a85aba6,P7630265 (Large).JPG,3rdParty_A_2020_Copyright_JNH/JNH/P7630265 (Large).JPG,95aa5d4782edc81bb528e0deea096df775d9d7cf72f4faf4f7da81c120f453da,openai/clip-vit-base-patch32
8,fb81dff770d24db5a73faaa93d5a0c8a,P7630266 (Large).JPG,3rdParty_A_2020_Copyright_JNH/JNH/P7630266 (Large).JPG,f4ab79ce5264f789c2a7abfaa492a667bc45ef8466e647d03671e49c5d83efc3,openai/clip-vit-base-patch32
9,fb62451110a343288e8cdb2209dccc24,P7630267 (Large).JPG,3rdParty_A_2020_Copyright_JNH/JNH/P7630267 (Large).JPG,3bb8121a87aecaaabc2c3688d47860a608c835be153cd2dd958fb85034b0c581,openai/clip-vit-base-patch32
10,57e02a40a424473589ca195bb2ec3e93,P7630268 (Large).JPG,3rdParty_A_2020_Copyright_JNH/JNH/P7630268 (Large).JPG,230f80b5591a20f27dfbbf73365849af97a221cb22c6fbcdb3194d4f146d6c5d,openai/clip-vit-base-patch32
