image_uid,file_name,facet,term_key,label,similarity_score,source,vocabulary_version
200af01154004118ae8397eb3fe5f15e,P7630236 (Large).jpg,site,base_a,"Base A, Port Lockroy",,directory_path,1.0
200af01154004118ae8397eb3fe5f15e,P7630236 (Large).jpg,scene_type,landscape,Landscape,0.281553,clip,1.0
200af01154004118ae8397eb3fe5f15e,P7630236 (Large).jpg,shot_type,wide,Wide view,0.264171,clip,1.0
200af01154004118ae8397eb3fe5f15e,P7630236 (Large).jpg,people,no_people,No people,,threshold_rule,1.0
5d9d6ca54cfb4308b7ca3ec6cd105dfb,P7630258 (Large).JPG,site,base_a,"Base A, Port Lockroy",,directory_path,1.0
5d9d6ca54cfb4308b7ca3ec6cd105dfb,P7630258 (Large).JPG,scene_type,interior,Interior,0.284672,clip,1.0
5d9d6ca54cfb4308b7ca3ec6cd105dfb,P7630258 (Large).JPG,shot_type,medium,Medium view,0.238746,clip,1.0
5d9d6ca54cfb4308b7ca3ec6cd105dfb,P7630258 (Large).JPG,people,no_people,No people,,threshold_rule,1.0
5d9d6ca54cfb4308b7ca3ec6cd105dfb,P7630258 (Large).JPG,room,kitchen,Kitchen,0.308938,clip,1.0
5d9d6ca54cfb4308b7ca3ec6cd105dfb,P7630258 (Large).JPG,condition,weathered_timber,Weathered timber,0.240171,clip,1.0
5d9d6ca54cfb4308b7ca3ec6cd105dfb,P7630258 (Large).JPG,condition,object_wear,Object wear,0.245154,clip,1.0
670ee9cd37b646358e8b1cd55fc22957,P7630259 (Large).JPG,site,base_a,"Base A, Port Lockroy",,directory_path,1.0
670ee9cd37b646358e8b1cd55fc22957,P7630259 (Large).JPG,scene_type,interior,Interior,0.27453,clip,1.0
670ee9cd37b646358e8b1cd55fc22957,P7630259 (Large).JPG,shot_type,medium,Medium view,0.25626,clip,1.0
670ee9cd37b646358e8b1cd55fc22957,P7630259 (Large).JPG,people,no_people,No people,,threshold_rule,1.0
670ee9cd37b646358e8b1cd55fc22957,P7630259 (Large).JPG,room,kitchen,Kitchen,0.316132,clip,1.0
670ee9cd37b646358e8b1cd55fc22957,P7630259 (Large).JPG,condition,object_wear,Object wear,0.252662,clip,1.0
bc173a734aaf4bfda01eb017594a2f6e,P7630260 (Large).JPG,site,base_a,"Base A, Port Lockroy",,directory_path,1.0
bc173a734aaf4bfda01eb017594a2f6e,P7630260 (Large).JPG,scene_type,interior,Interior,0.272645,clip,1.0
bc173a734aaf4bfda01eb017594a2f6e,P7630260 (Large).JPG,shot_type,medium,Medium view,0.248448,clip,1.0
bc173a734aaf4bfda01eb017594a2f6e,P7630260 (Large).JPG,people,no_people,No people,,threshold_rule,1.0
bc173a734aaf4bfda01eb017594a2f6e,P7630260 (Large).JPG,room,kitchen,Kitchen,0.35611,clip,1.0
bc173a734aaf4bfda01eb017594a2f6e,P7630260 (Large).JPG,condition,object_wear,Object wear,0.24074,clip,1.0
9937c64b77dc4232987c98f864d01132,P7630262 (Large).JPG,site,base_a,"Base A, Port Lockroy",,directory_path,1.0
9937c64b77dc4232987c98f864d01132,P7630262 (Large).JPG,scene_type,interior,Interior,0.272829,clip,1.0
9937c64b77dc4232987c98f864d01132,P7630262 (Large).JPG,shot_type,medium,Medium view,0.207532,clip,1.0
9937c64b77dc4232987c98f864d01132,P7630262 (Large).JPG,people,no_people,No people,,threshold_rule,1.0
9937c64b77dc4232987c98f864d01132,P7630262 (Large).JPG,room,living_room,Living room,0.289914,clip,1.0
4a364c61c595499283bd9b8123ffde34,P7630263 (Large).JPG,site,base_a,"Base A, Port Lockroy",,directory_path,1.0
4a364c61c595499283bd9b8123ffde34,P7630263 (Large).JPG,scene_type,interior,Interior,0.24631,clip,1.0
4a364c61c595499283bd9b8123ffde34,P7630263 (Large).JPG,shot_type,medium,Medium view,0.228303,clip,1.0
4a364c61c595499283bd9b8123ffde34,P7630263 (Large).JPG,people,no_people,No people,,threshold_rule,1.0
4a364c61c595499283bd9b8123ffde34,P7630263 (Large).JPG,room,radio_room,Radio room,0.30491,clip,1.0
4a364c61c595499283bd9b8123ffde34,P7630263 (Large).JPG,condition,object_wear,Object wear,0.248483,clip,1.0
3c02cda285564ef1823982848b393b9d,P7630264 (Large).JPG,site,base_a,"Base A, Port Lockroy",,directory_path,1.0
3c02cda285564ef1823982848b393b9d,P7630264 (Large).JPG,scene_type,interior,Interior,0.269915,clip,1.0
3c02cda285564ef1823982848b393b9d,P7630264 (Large).JPG,shot_type,medium,Medium view,0.21397,clip,1.0
3c02cda285564ef1823982848b393b9d,P7630264 (Large).JPG,people,no_people,No people,,threshold_rule,1.0
3c02cda285564ef1823982848b393b9d,P7630264 (Large).JPG,room,bunkroom,Bunkroom,0.285225,clip,1.0
c126d76ddd624a4b84f3d1924a85aba6,P7630265 (Large).JPG,site,base_a,"Base A, Port Lockroy",,directory_path,1.0
c126d76ddd624a4b84f3d1924a85aba6,P7630265 (Large).JPG,scene_type,object_study,Object study,0.238441,clip,1.0
c126d76ddd624a4b84f3d1924a85aba6,P7630265 (Large).JPG,shot_type,detail,Detail,0.260082,clip,1.0
c126d76ddd624a4b84f3d1924a85aba6,P7630265 (Large).JPG,people,no_people,No people,,threshold_rule,1.0
c126d76ddd624a4b84f3d1924a85aba6,P7630265 (Large).JPG,condition,weathered_timber,Weathered timber,0.250229,clip,1.0
c126d76ddd624a4b84f3d1924a85aba6,P7630265 (Large).JPG,condition,object_wear,Object wear,0.249692,clip,1.0
fb81dff770d24db5a73faaa93d5a0c8a,P7630266 (Large).JPG,site,base_a,"Base A, Port Lockroy",,directory_path,1.0
fb81dff770d24db5a73faaa93d5a0c8a,P7630266 (Large).JPG,scene_type,exterior,Exterior,0.255459,clip,1.0
fb81dff770d24db5a73faaa93d5a0c8a,P7630266 (Large).JPG,shot_type,wide,Wide view,0.236811,clip,1.0
fb81dff770d24db5a73faaa93d5a0c8a,P7630266 (Large).JPG,people,no_people,No people,,threshold_rule,1.0
fb81dff770d24db5a73faaa93d5a0c8a,P7630266 (Large).JPG,structure,main_hut,Main hut,0.282557,clip,1.0
fb81dff770d24db5a73faaa93d5a0c8a,P7630266 (Large).JPG,structure,outbuilding,Outbuilding,0.265468,clip,1.0
fb81dff770d24db5a73faaa93d5a0c8a,P7630266 (Large).JPG,condition,weathered_timber,Weathered timber,0.257469,clip,1.0
fb62451110a343288e8cdb2209dccc24,P7630267 (Large).JPG,site,base_a,"Base A, Port Lockroy",,directory_path,1.0
fb62451110a343288e8cdb2209dccc24,P7630267 (Large).JPG,scene_type,landscape,Landscape,0.266756,clip,1.0
fb62451110a343288e8cdb2209dccc24,P7630267 (Large).JPG,shot_type,wide,Wide view,0.23293,clip,1.0
fb62451110a343288e8cdb2209dccc24,P7630267 (Large).JPG,people,no_people,No people,,threshold_rule,1.0
fb62451110a343288e8cdb2209dccc24,P7630267 (Large).JPG,nature,snow,Snow,0.245589,clip,1.0
