image_uid,file_name,relative_path,date_taken,date_digitised,camera_make,camera_model,serial_number,lens_model,image_width,image_height,orientation,software,iso,exposure_time,f_number,focal_length,flash,white_balance,exposure_program,metering_mode,gps_latitude,gps_longitude,gps_altitude,extracted_at
62931cac9c104adc9de294f5d89a3c9f,P7630236 (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630236 (Large).jpg,2020-04-24 17:05:41,2020-04-24 17:05:41,Panasonic,DMC-GM1,,,1920.0,1021.0,,Photos 2.0,200.0,1/500,11.0,32.0,Did not fire,Auto,Landscape mode,Pattern,,,,2026-08-28T10:09:29+00:00
5ed1c1882c144e81b49b84119cc68561,P7630258 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630258 (Large).JPG,2020-04-24 17:37:44,2020-04-24 17:37:44,Panasonic,DMC-GM1,,,721.0,1080.0,Horizontal,Microsoft Windows Photo Viewer 6.1.7600.16385,800.0,1/50,4.0,12.0,Fired,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
5a9b9bc7f1ba4ea6b6daab5e4045f24a,P7630259 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630259 (Large).JPG,2020-04-24 17:38:03,2020-04-24 17:38:03,Panasonic,DMC-GM1,,,721.0,1080.0,Horizontal,Microsoft Windows Photo Viewer 6.1.7600.16385,800.0,1/50,4.0,12.0,Fired,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
93ba7920f8034cf6a49dfd4c4242bb14,P7630260 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630260 (Large).JPG,2020-04-24 17:38:19,2020-04-24 17:38:19,Panasonic,DMC-GM1,,,721.0,1080.0,Horizontal,Microsoft Windows Photo Viewer 6.1.7600.16385,800.0,1/50,5.0,12.0,Fired,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
4301ad566c8e4944b30715af398563d3,P7630262 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630262 (Large).JPG,2020-04-24 17:38:44,2020-04-24 17:38:44,Panasonic,DMC-GM1,,,1616.0,1080.0,Horizontal,Ver.1.0,640.0,1/50,8.0,12.0,Fired,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
a7fd2c4d0ef8411b826c0864a0dae101,P7630263 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630263 (Large).JPG,2020-04-24 17:40:55,2020-04-24 17:40:55,Panasonic,DMC-GM1,,,1616.0,1080.0,Horizontal,Ver.1.0,640.0,1/50,5.0,12.0,Fired,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
164b40a691974d0d94b5decd9cfb23b1,P7630264 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630264 (Large).JPG,2020-04-24 17:41:07,2020-04-24 17:41:07,Panasonic,DMC-GM1,,,1616.0,1080.0,Horizontal,Ver.1.0,800.0,1/50,4.0,12.0,Fired,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
b80d16d76aa943f396e8490c39480e7e,P7630265 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630265 (Large).JPG,2020-04-24 17:43:08,2020-04-24 17:43:08,Panasonic,DMC-GM1,,,1616.0,1080.0,Horizontal,Ver.1.0,200.0,1/800,11.0,12.0,Did not fire,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
f2361418fc424297975d9115f918df35,P7630266 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630266 (Large).JPG,2020-04-24 17:43:50,2020-04-24 17:43:50,Panasonic,DMC-GM1,,,1616.0,1080.0,Horizontal,Ver.1.0,200.0,1/640,11.0,12.0,Did not fire,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
971063d20f2e4d8d9ea38fab364bcdc4,P7630267 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630267 (Large).JPG,2020-04-24 17:44:19,2020-04-24 17:44:19,Panasonic,DMC-GM1,,,1616.0,1080.0,Horizontal,Ver.1.0,200.0,1/500,9.0,12.0,Did not fire,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
1189d07eef534ef58ac492318de87cee,P7630268 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630268 (Large).JPG,2020-04-24 17:45:24,2020-04-24 17:45:24,Panasonic,DMC-GM1,,,1616.0,1080.0,Horizontal,Ver.1.0,200.0,1/400,10.0,12.0,Did not fire,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
b65dd1a9a780495993f20af3880341ed,P7630273 (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630273 (Large).jpg,2020-04-24 17:54:16,2020-04-24 17:54:16,Panasonic,DMC-GM1,,,1920.0,824.0,,Photos 2.0,200.0,1/640,11.0,12.0,Did not fire,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
05476fd8e66c492eaf9abc1289f3e641,P7630276 (Large).JPG,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630276 (Large).JPG,2020-04-24 18:06:26,2020-04-24 18:06:26,Panasonic,DMC-GM1,,,1616.0,1080.0,Horizontal,Ver.1.0,200.0,1/400,8.0,12.0,Did not fire,Auto,Normal program,Pattern,,,,2026-08-28T10:09:29+00:00
7d6bcd104d8a40c488c5f7a9fe2234c4,Port Lockroy 24th April 2020 JNH (1) (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (1) (Large).jpg,2020-04-24 13:17:44,2020-04-24 13:17:44,HUAWEI,HUAWEI VNS-L31,,,1440.0,1080.0,,VNS-L31C432B380,50.0,499/1000000,2.0,3.79,Did not fire,Auto,Normal program,Pattern,-64.8248215,-63.4944267,8.57,2026-08-28T10:09:29+00:00
78ec9b7d4cc14380a228eb0a4e9ae313,Port Lockroy 24th April 2020 JNH (10) (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (10) (Large).jpg,2020-04-24 13:23:06,2020-04-24 13:23:06,HUAWEI,HUAWEI VNS-L31,,,1440.0,1080.0,,VNS-L31C432B380,320.0,3/100,2.0,3.79,Did not fire,Auto,Normal program,Pattern,-64.8253326,-63.4946136,20.38,2026-08-28T10:09:29+00:00
947ba9ec938d4e4487db081d3f8bb032,Port Lockroy 24th April 2020 JNH (11) (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (11) (Large).jpg,2020-04-24 13:23:13,2020-04-24 13:23:13,HUAWEI,HUAWEI VNS-L31,,,810.0,1080.0,,VNS-L31C432B380,200.0,3/100,2.0,3.79,Did not fire,Auto,Normal program,Pattern,-64.8253326,-63.4946136,20.38,2026-08-28T10:09:29+00:00
ab2291f51d8e4592bc6d87866ea7cc60,Port Lockroy 24th April 2020 JNH (12) (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (12) (Large).jpg,2020-04-24 13:23:17,2020-04-24 13:23:17,HUAWEI,HUAWEI VNS-L31,,,1440.0,1080.0,,VNS-L31C432B380,160.0,3/100,2.0,3.79,Did not fire,Auto,Normal program,Pattern,-64.8253326,-63.4946136,20.38,2026-08-28T10:09:29+00:00
ccc717b468fe427aa962689f4977f892,Port Lockroy 24th April 2020 JNH (13) (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (13) (Large).jpg,2020-04-24 13:23:22,2020-04-24 13:23:22,HUAWEI,HUAWEI VNS-L31,,,1440.0,1080.0,,VNS-L31C432B380,125.0,3/100,2.0,3.79,Did not fire,Auto,Normal program,Pattern,-64.8253326,-63.4946136,20.38,2026-08-28T10:09:29+00:00
a3f8557790d3439790966271ccdeb624,Port Lockroy 24th April 2020 JNH (14) (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (14) (Large).jpg,2020-04-24 13:23:32,2020-04-24 13:23:32,HUAWEI,HUAWEI VNS-L31,,,1440.0,1080.0,,VNS-L31C432B380,500.0,1/20,2.0,3.79,Did not fire,Auto,Normal program,Pattern,-64.8253326,-63.4946136,20.38,2026-08-28T10:09:29+00:00
4d0b60205ebb426d8727295dac6f9e14,Port Lockroy 24th April 2020 JNH (16) (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (16) (Large).jpg,2020-04-24 13:24:17,2020-04-24 13:24:17,HUAWEI,HUAWEI VNS-L31,,,1440.0,1080.0,,VNS-L31C432B380,1250.0,2/25,2.0,3.79,Did not fire,Auto,Normal program,Pattern,-64.8253326,-63.4946136,20.38,2026-08-28T10:09:29+00:00
a650f66abf47423196ea4af08a9d038e,Port Lockroy 24th April 2020 JNH (17) (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/Port Lockroy 24th April 2020 JNH (17) (Large).jpg,2020-04-24 13:24:24,2020-04-24 13:24:24,HUAWEI,HUAWEI VNS-L31,,,1440.0,1080.0,,VNS-L31C432B380,1000.0,7/100,2.0,3.79,Did not fire,Auto,Normal program,Pattern,-64.8253326,-63.4946136,20.38,2026-08-28T10:09:29+00:00
