image_uid,file_name,model,error_message,attempted_at
e6f22aee978d4eea89bc273e4f846207,A1c251_13.jpg,CLIP,image file is truncated (34 bytes not processed),2026-08-05T02:26:27+00:00
d64012d8185445929e5f54af5ca55b03,A1c260a.jpg,CLIP,cannot identify image file 'E:\\UKAHT_Pipeline\\data\\images\\Condition_Artefacts\\Artefacts_A_Var_Copyrright_L_Ling\\A1c260a.jpg',2026-08-05T02:26:28+00:00
e6f22aee978d4eea89bc273e4f846207,A1c251_13.jpg,Florence-2,image file is truncated (34 bytes not processed),2026-08-05T02:27:39+00:00
d64012d8185445929e5f54af5ca55b03,A1c260a.jpg,Florence-2,cannot identify image file 'E:\\UKAHT_Pipeline\\data\\images\\Condition_Artefacts\\Artefacts_A_Var_Copyrright_L_Ling\\A1c260a.jpg',2026-08-05T02:27:39+00:00
ff307e2213674e5387febe7a349aa64a,A1c260a.jpg,EXIF,cannot identify image file 'C:\\Users\\ruthr\\D\\UKAHT-TEAM-27\\pipeline\\data\\images\\UK Antarctic Heritage Trust Data\\Condition_Artefacts\\Artefacts_A_Var_Copyrright_L_Ling\\A1c260a.jpg',2026-08-17T04:02:04+00:00
82b699f0f3114f4ba84f4f14221038f1,A1c260a.jpg,clustering,cv2 could not read /Users/nithyadharshini/Desktop/UKAHT/UKAHT-TEAM-27/pipeline/data/images/UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_Var_Copyrright_L_Ling/A1c260a.jpg,2026-08-17T10:21:51+00:00
82b699f0f3114f4ba84f4f14221038f1,A1c260a.jpg,quality,"Skipping, unable to read: /Users/nithyadharshini/Desktop/UKAHT/UKAHT-TEAM-27/pipeline/data/images/UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_Var_Copyrright_L_Ling/A1c260a.jpg",2026-08-17T10:30:01+00:00
8a2972f05c9b432abfc005ec2b095aca,A1c251_13.jpg,CLIP,image file is truncated (34 bytes not processed),2026-08-21T16:11:05+00:00
76a352f5af2e495c8aaf15f77916cba2,A1c260a.jpg,CLIP,cannot identify image file 'C:\\Users\\ruthr\\D\\UKAHT-TEAM-27\\pipeline\\data\\images\\UK Antarctic Heritage Trust Data\\Condition_Artefacts\\Artefacts_A_Var_Copyrright_L_Ling\\A1c260a.jpg',2026-08-21T16:11:09+00:00
8a2972f05c9b432abfc005ec2b095aca,A1c251_13.jpg,Florence-2,image file is truncated (34 bytes not processed),2026-08-21T16:26:29+00:00
76a352f5af2e495c8aaf15f77916cba2,A1c260a.jpg,Florence-2,cannot identify image file 'C:\\Users\\ruthr\\D\\UKAHT-TEAM-27\\pipeline\\data\\images\\UK Antarctic Heritage Trust Data\\Condition_Artefacts\\Artefacts_A_Var_Copyrright_L_Ling\\A1c260a.jpg',2026-08-21T16:27:06+00:00
76a352f5af2e495c8aaf15f77916cba2,A1c260a.jpg,EXIF,cannot identify image file 'C:\\Users\\ruthr\\D\\UKAHT-TEAM-27\\pipeline\\data\\images\\UK Antarctic Heritage Trust Data\\Condition_Artefacts\\Artefacts_A_Var_Copyrright_L_Ling\\A1c260a.jpg',2026-08-21T16:49:34+00:00
76a352f5af2e495c8aaf15f77916cba2,A1c260a.jpg,quality,"Skipping, unable to read: C:\Users\ruthr\D\UKAHT-TEAM-27\pipeline\data\images\UK Antarctic Heritage Trust Data\Condition_Artefacts\Artefacts_A_Var_Copyrright_L_Ling\A1c260a.jpg",2026-08-21T16:51:03+00:00
76f24c706ea5449e9c04659d41a281dc,"© UK Antarctic Heritage Trust, 2011, Photo by Rick Price, 2 copy.jpg",quality,"Skipping, unable to read: C:\Users\ruthr\D\UKAHT-TEAM-27\pipeline\data\images\UK Antarctic Heritage Trust Data\Various_A\© UK Antarctic Heritage Trust, 2011, Photo by Rick Price, 2 copy.jpg",2026-08-21T16:53:54+00:00
76a352f5af2e495c8aaf15f77916cba2,A1c260a.jpg,clustering,cv2 could not read C:\Users\ruthr\D\UKAHT-TEAM-27\pipeline\data\images\UK Antarctic Heritage Trust Data\Condition_Artefacts\Artefacts_A_Var_Copyrright_L_Ling\A1c260a.jpg,2026-08-21T16:55:03+00:00
76f24c706ea5449e9c04659d41a281dc,"© UK Antarctic Heritage Trust, 2011, Photo by Rick Price, 2 copy.jpg",clustering,"cv2 could not read C:\Users\ruthr\D\UKAHT-TEAM-27\pipeline\data\images\UK Antarctic Heritage Trust Data\Various_A\© UK Antarctic Heritage Trust, 2011, Photo by Rick Price, 2 copy.jpg",2026-08-21T16:57:18+00:00
