id,image_id,image_name,sharpness_score,exposure_score,overall_score,is_best_in_group,scored_at
1,1,JNH/Port Lockroy 24th April 2020 JNH (48) (Large).jpg,0.1019,0.8158,0.4588,False,2026-08-11 18:55:19
2,2,JNH/Port Lockroy 24th April 2020 JNH (39) (Large).jpg,0.2803,0.9762,0.6282,False,2026-08-11 18:55:19
3,3,JNH/P7630236 (Large).jpg,1,0.941,0.9705,False,2026-08-11 18:55:19
4,4,JNH/Port Lockroy 24th April 2020 JNH (9) (Large).jpg,0.2983,0.8163,0.5573,False,2026-08-11 18:55:19
5,5,JNH/Port Lockroy 24th April 2020 JNH (49) (Large).jpg,0.3991,0.8711,0.6351,False,2026-08-11 18:55:19
6,6,JNH/Port Lockroy 24th April 2020 JNH (8) (Large).jpg,0.1803,0.9132,0.5468,False,2026-08-11 18:55:19
7,7,JNH/Port Lockroy 24th April 2020 JNH (32) (Large).jpg,0.3552,0.9563,0.6558,False,2026-08-11 18:55:19
8,8,JNH/Port Lockroy 24th April 2020 JNH (27) (Large).jpg,0.1218,0.5499,0.3359,False,2026-08-11 18:55:19
9,9,JNH/Port Lockroy 24th April 2020 JNH (5) (Large).jpg,0.4186,0.9197,0.6692,False,2026-08-11 18:55:19
10,10,JNH/Port Lockroy 24th April 2020 JNH (20) (Large).jpg,0.175,0.7426,0.4588,False,2026-08-11 18:55:19
11,11,JNH/Port Lockroy 24th April 2020 JNH (2) (Large).jpg,1,0.9444,0.9722,False,2026-08-11 18:55:19
12,12,JNH/Port Lockroy 24th April 2020 JNH (16) (Large).jpg,0.5231,0.3903,0.4567,False,2026-08-11 18:55:19
13,13,JNH/Port Lockroy 24th April 2020 JNH (43) (Large).jpg,0.3225,0.9255,0.624,False,2026-08-11 18:55:19
14,14,JNH/Port Lockroy 24th April 2020 JNH (11) (Large).jpg,0.3035,0.8371,0.5703,False,2026-08-11 18:55:19
15,15,JNH/Port Lockroy 24th April 2020 JNH (44) (Large).jpg,0.1696,0.6499,0.4098,False,2026-08-11 18:55:19
16,16,JNH/Port Lockroy 24th April 2020 JNH (51) (Large).jpg,0.3017,0.8441,0.5729,False,2026-08-11 18:55:19
17,17,JNH/Port Lockroy 24th April 2020 JNH (56) (Large).jpg,0.4549,0.8925,0.6737,False,2026-08-11 18:55:19
18,18,JNH/Port Lockroy 24th April 2020 JNH (3) (Large).jpg,1,0.9174,0.9587,False,2026-08-11 18:55:19
19,19,JNH/Port Lockroy 24th April 2020 JNH (21) (Large).jpg,0.3953,0.8196,0.6074,False,2026-08-11 18:55:19
20,20,JNH/Port Lockroy 24th April 2020 JNH (4) (Large).jpg,1,0.9856,0.9928,False,2026-08-11 18:55:19
21,21,JNH/Port Lockroy 24th April 2020 JNH (26) (Large).jpg,0.4723,0.6258,0.549,False,2026-08-11 18:55:19
22,22,JNH/Port Lockroy 24th April 2020 JNH (33) (Large).jpg,1,0.8957,0.9478,False,2026-08-11 18:55:19
23,23,JNH/Port Lockroy 24th April 2020 JNH (34) (Large).jpg,0.8639,0.9754,0.9196,False,2026-08-11 18:55:19
24,24,JNH/Port Lockroy 24th April 2020 JNH (10) (Large).jpg,0.1836,0.9158,0.5497,False,2026-08-11 18:55:19
25,25,JNH/Port Lockroy 24th April 2020 JNH (42) (Large).jpg,0.4984,0.9175,0.708,False,2026-08-11 18:55:19
26,26,JNH/Port Lockroy 24th April 2020 JNH (17) (Large).jpg,0.4156,0.6616,0.5386,False,2026-08-11 18:55:19
27,27,JNH/Port Lockroy 24th April 2020 JNH (24) (Large).jpg,0.0676,0.8108,0.4392,False,2026-08-11 18:55:19
28,28,JNH/Port Lockroy 24th April 2020 JNH (6) (Large).jpg,0.7901,0.9325,0.8613,False,2026-08-11 18:55:19
29,29,JNH/Port Lockroy 24th April 2020 JNH (23) (Large).jpg,0.1834,0.5988,0.3911,False,2026-08-11 18:55:19
30,30,JNH/Port Lockroy 24th April 2020 JNH (1) (Large).jpg,1,0.8933,0.9466,False,2026-08-11 18:55:19
31,31,JNH/Port Lockroy 24th April 2020 JNH (36) (Large).jpg,0.7581,0.8855,0.8218,False,2026-08-11 18:55:19
32,32,JNH/Port Lockroy 24th April 2020 JNH (31) (Large).jpg,0.1492,0.7682,0.4587,False,2026-08-11 18:55:19
33,33,JNH/Port Lockroy 24th April 2020 JNH (52) (Large).jpg,0.7765,0.9666,0.8716,False,2026-08-11 18:55:19
34,34,JNH/Port Lockroy 24th April 2020 JNH (55) (Large).jpg,1,0.9091,0.9546,False,2026-08-11 18:55:19
35,35,JNH/Port Lockroy 24th April 2020 JNH (40) (Large).jpg,0.5587,0.8893,0.724,False,2026-08-11 18:55:19
36,36,JNH/Port Lockroy 24th April 2020 JNH (12) (Large).jpg,0.3354,0.9063,0.6208,False,2026-08-11 18:55:19
37,37,JNH/Port Lockroy 24th April 2020 JNH (47) (Large).jpg,0.2403,0.8307,0.5355,False,2026-08-11 18:55:19
38,38,JNH/Port Lockroy 24th April 2020 JNH (30) (Large).jpg,0.2559,0.8638,0.5598,False,2026-08-11 18:55:19
39,39,JNH/Port Lockroy 24th April 2020 JNH (37) (Large).jpg,0.5417,0.8098,0.6758,False,2026-08-11 18:55:19
40,40,JNH/Port Lockroy 24th April 2020 JNH (22) (Large).jpg,0.1171,0.6743,0.3957,False,2026-08-11 18:55:19
41,41,JNH/Port Lockroy 24th April 2020 JNH (7) (Large).jpg,0.5165,0.9226,0.7195,False,2026-08-11 18:55:19
42,42,JNH/Port Lockroy 24th April 2020 JNH (25) (Large).jpg,0.0572,0.837,0.4471,False,2026-08-11 18:55:19
43,43,JNH/Port Lockroy 24th April 2020 JNH (13) (Large).jpg,0.5209,0.9168,0.7188,False,2026-08-11 18:55:19
44,44,JNH/Port Lockroy 24th April 2020 JNH (41) (Large).jpg,0.2902,0.9633,0.6268,False,2026-08-11 18:55:19
45,45,JNH/Port Lockroy 24th April 2020 JNH (14) (Large).jpg,0.1183,0.9786,0.5484,False,2026-08-11 18:55:19
46,46,JNH/Port Lockroy 24th April 2020 JNH (54) (Large).jpg,0.3961,0.2746,0.3354,False,2026-08-11 18:55:19
47,47,JNH/Port Lockroy 24th April 2020 JNH (53) (Large).jpg,0.1695,0.7349,0.4522,False,2026-08-11 18:55:19
48,48,JNH/Port Lockroy 24th April 2020 JNH (19) (Large).jpg,0.2126,0.779,0.4958,False,2026-08-11 18:55:19
49,49,JNH/Port Lockroy 24th April 2020 JNH (28) (Large).jpg,0.1389,0.7295,0.4342,False,2026-08-11 18:55:19
50,50,JNH/Port Lockroy 24th April 2020 JNH (18) (Large).jpg,0.0603,0.3637,0.212,False,2026-08-11 18:55:19
51,51,JNH/P7630273 (Large).jpg,0.5499,0.84,0.695,False,2026-08-11 18:55:19
52,52,JNH/Port Lockroy 24th April 2020 JNH (29) (Large).jpg,0.0925,0.9745,0.5335,False,2026-08-11 18:55:19
53,53,JNH/P7630268 (Large).JPG,0.8329,0.9044,0.8686,False,2026-08-11 18:55:19
54,54,JNH/P7630264 (Large).JPG,0.5664,0.8778,0.7221,False,2026-08-11 18:55:19
55,55,JNH/P7630267 (Large).JPG,0.9778,0.9621,0.97,False,2026-08-11 18:55:19
56,56,JNH/P7630259 (Large).JPG,1,0.8847,0.9424,False,2026-08-11 18:55:19
57,57,JNH/P7630262 (Large).JPG,0.5001,0.7364,0.6182,False,2026-08-11 18:55:19
58,58,JNH/P7630265 (Large).JPG,0.204,0.7873,0.4956,False,2026-08-11 18:55:19
59,59,JNH/P7630260 (Large).JPG,0.7336,0.8913,0.8124,False,2026-08-11 18:55:19
60,60,JNH/P7630263 (Large).JPG,0.6394,0.9049,0.7722,False,2026-08-11 18:55:19
61,61,JNH/P7630276 (Large).JPG,0.5998,0.9333,0.7666,False,2026-08-11 18:55:19
62,62,JNH/P7630258 (Large).JPG,1,0.875,0.9375,False,2026-08-11 18:55:19
63,63,JNH/P7630266 (Large).JPG,0.6288,0.8126,0.7207,False,2026-08-11 18:55:19
64,64,A_1_h_16/A_1_h_16(1).jpg,0.0532,0.7802,0.4167,False,2026-08-11 18:55:19
65,65,A_1_h_16/A_1_h_16(4).jpg,0.0372,0.9702,0.5037,False,2026-08-11 18:55:19
66,66,A_1_h_16/HY9A2343.jpg,0.0532,0.7802,0.4167,False,2026-08-11 18:55:19
67,67,A_1_h_16/HY9A2344.jpg,0.0394,0.9636,0.5015,False,2026-08-11 18:55:19
68,68,A_1_h_16/HY9A2345.jpg,0.0391,0.9518,0.4954,False,2026-08-11 18:55:19
69,69,A_1_h_16/HY9A2346.jpg,0.0372,0.9702,0.5037,False,2026-08-11 18:55:19
70,70,A_1_h_16/A_1_h_16(2).jpg,0.0394,0.9636,0.5015,False,2026-08-11 18:55:19
71,71,A_1_h_16/A_1_h_16(3).jpg,0.0391,0.9518,0.4954,False,2026-08-11 18:55:19
72,72,A_1_h_16/P1010139.JPG,0.0777,0.9508,0.5142,False,2026-08-11 18:55:19
73,73,A_1_h_16/P1010138.JPG,0.0607,0.9964,0.5286,False,2026-08-11 18:55:19
74,74,A_1_h_16/A_1_h_16(14).JPG,0.1421,0.9321,0.5371,False,2026-08-11 18:55:19
75,75,A_1_h_16/PC130169.JPG,0.2929,0.972,0.6324,False,2026-08-11 18:55:19
76,76,A_1_h_16/A_1_h_16(6).JPG,0.0777,0.9508,0.5142,False,2026-08-11 18:55:19
77,77,A_1_h_16/A_1_h_16(13).JPG,0.1635,0.9875,0.5755,False,2026-08-11 18:55:19
78,78,A_1_h_16/A_1_h_16(12).JPG,0.164,0.9552,0.5596,False,2026-08-11 18:55:19
79,79,A_1_h_16/A_1_h_16(7).JPG,0.0827,0.9327,0.5077,False,2026-08-11 18:55:19
80,80,A_1_h_16/P1010141.JPG,0.0858,0.9363,0.511,False,2026-08-11 18:55:19
81,81,A_1_h_16/P1010140.JPG,0.0827,0.9327,0.5077,False,2026-08-11 18:55:19
82,82,A_1_h_16/A_1_h_16(11).JPG,0.0876,0.954,0.5208,False,2026-08-11 18:55:19
83,83,A_1_h_16/A_1_h_16(8).JPG,0.0858,0.9363,0.511,False,2026-08-11 18:55:19
84,84,A_1_h_16/P1010143.JPG,0.0857,0.9542,0.52,False,2026-08-11 18:55:19
85,85,A_1_h_16/A_1_h_16(9).JPG,0.0857,0.9542,0.52,False,2026-08-11 18:55:19
86,86,A_1_h_16/A_1_h_16(10).JPG,0.2929,0.972,0.6324,False,2026-08-11 18:55:19
87,87,A_1_h_16/A_1_h_16(5).JPG,0.0607,0.9964,0.5286,False,2026-08-11 18:55:19
88,88,A_1_h_16/PC130171.JPG,0.164,0.9552,0.5596,False,2026-08-11 18:55:19
89,89,A_1_h_16/PC130170.JPG,0.0876,0.954,0.5208,False,2026-08-11 18:55:19
90,90,A_1_h_16/PC130172.JPG,0.1635,0.9875,0.5755,False,2026-08-11 18:55:19
91,91,A_1_h_16/PC130173.JPG,0.1421,0.9321,0.5371,False,2026-08-11 18:55:19
92,92,1112 new acquisitions/A1h164d.JPG,0.36,0.9823,0.6711,False,2026-08-11 18:55:19
93,93,1112 new acquisitions/A1h165a.JPG,0.0887,0.9772,0.533,False,2026-08-11 18:55:19
94,94,1112 new acquisitions/F2011-1a.JPG,0.1063,0.9357,0.521,False,2026-08-11 18:55:19
95,95,1112 new acquisitions/DSC03227.JPG,0.0521,0.9927,0.5224,False,2026-08-11 18:55:19
96,96,1112 new acquisitions/A1h165c.JPG,0.1923,0.9927,0.5925,False,2026-08-11 18:55:19
97,97,1112 new acquisitions/F2011-1b.JPG,0.1037,0.9846,0.5442,False,2026-08-11 18:55:19
98,98,1112 new acquisitions/A1h165b.JPG,0.2319,0.959,0.5954,False,2026-08-11 18:55:19
99,99,1112 new acquisitions/DSC03193.JPG,0.217,0.9609,0.589,False,2026-08-11 18:55:19
100,100,1112 new acquisitions/DSC03222.JPG,0.28,0.9922,0.6361,False,2026-08-11 18:55:19
101,101,1112 new acquisitions/A1h164b.JPG,0.1844,0.827,0.5057,False,2026-08-11 18:55:19
102,102,1112 new acquisitions/A1h164c.JPG,0.2554,0.853,0.5542,False,2026-08-11 18:55:19
103,103,1112 new acquisitions/DSC03194.JPG,0.1978,0.9772,0.5875,False,2026-08-11 18:55:19
104,104,1112 new acquisitions/DSC03221.JPG,0.0714,0.9349,0.5032,False,2026-08-11 18:55:19
105,105,1112 new acquisitions/A1h164a.JPG,0.2467,0.989,0.6178,False,2026-08-11 18:55:19
106,106,1112 new acquisitions/A1h166.JPG,0.1154,0.9133,0.5144,False,2026-08-11 18:55:19
107,107,1112 new acquisitions/A1h167.JPG,1,0.9797,0.9898,False,2026-08-11 18:55:19
108,108,1112 new acquisitions/A1h165.JPG,0.3521,0.9249,0.6385,False,2026-08-11 18:55:19
109,109,1112 new acquisitions/A1a61a.JPG,0.0692,0.8946,0.4819,False,2026-08-11 18:55:19
110,110,1112 new acquisitions/A1a60d.JPG,0.2245,0.9551,0.5898,False,2026-08-11 18:55:19
111,111,1112 new acquisitions/A1a61b.JPG,0.0909,0.9158,0.5034,False,2026-08-11 18:55:19
112,112,1112 new acquisitions/A1a61c.JPG,0.0748,0.9942,0.5345,False,2026-08-11 18:55:19
113,113,1112 new acquisitions/A1a60c.JPG,0.0708,0.9487,0.5098,False,2026-08-11 18:55:19
114,114,1112 new acquisitions/A1a60b.JPG,0.1027,0.9276,0.5152,False,2026-08-11 18:55:19
115,115,1112 new acquisitions/A1a61d.JPG,0.1393,0.9881,0.5637,False,2026-08-11 18:55:19
116,116,1112 new acquisitions/A1a60a.JPG,0.0745,0.917,0.4958,False,2026-08-11 18:55:19
117,117,1112 new acquisitions/DSC03198.JPG,0.1343,0.9659,0.5501,False,2026-08-11 18:55:19
118,118,1112 new acquisitions/DSC03205.JPG,0.8275,0.9919,0.9097,False,2026-08-11 18:55:19
119,119,1112 new acquisitions/A1h167a.JPG,0.3048,0.8003,0.5526,False,2026-08-11 18:55:19
120,120,1112 new acquisitions/DSC03204.JPG,0.4891,0.9303,0.7097,False,2026-08-11 18:55:19
121,121,1112 new acquisitions/DSC03199.JPG,0.0614,0.8163,0.4388,False,2026-08-11 18:55:19
122,122,1112 new acquisitions/DSC03206.JPG,0.8866,0.9435,0.915,False,2026-08-11 18:55:19
123,123,1112 new acquisitions/DSC03217.JPG,0.1089,0.8843,0.4966,False,2026-08-11 18:55:19
124,124,1112 new acquisitions/F2011-2c.JPG,0.1309,0.953,0.5419,False,2026-08-11 18:55:19
125,125,1112 new acquisitions/F2011-2b.JPG,0.5011,0.9472,0.7242,False,2026-08-11 18:55:19
126,126,1112 new acquisitions/DSC03189.JPG,0.1964,0.9712,0.5838,False,2026-08-11 18:55:19
127,127,1112 new acquisitions/DSC03200.JPG,0.1201,0.975,0.5476,False,2026-08-11 18:55:19
128,128,1112 new acquisitions/F2011-2a.JPG,0.1984,0.9333,0.5658,False,2026-08-11 18:55:19
129,129,Artefacts_A_Var_Copyrright_L_Ling/A1e41m.jpg,0.4158,0.8741,0.645,False,2026-08-11 18:55:19
130,130,Artefacts_A_Var_Copyrright_L_Ling/A1b5.jpg,0.8429,0.929,0.886,False,2026-08-11 18:55:19
131,131,Artefacts_A_Var_Copyrright_L_Ling/A1c1.jpg,0.303,0.9331,0.618,False,2026-08-11 18:55:19
132,132,Artefacts_A_Var_Copyrright_L_Ling/A1c197a.jpg,0.145,0.979,0.562,False,2026-08-11 18:55:19
133,133,Artefacts_A_Var_Copyrright_L_Ling/A1e41z.jpg,0.161,0.9235,0.5422,False,2026-08-11 18:55:19
134,134,Artefacts_A_Var_Copyrright_L_Ling/A1b53.jpg,0.0096,0.9429,0.4762,False,2026-08-11 18:55:19
135,135,Artefacts_A_Var_Copyrright_L_Ling/A1c206a.jpg,0.1384,0.9583,0.5484,False,2026-08-11 18:55:19
136,136,Artefacts_A_Var_Copyrright_L_Ling/A1b76b.jpg,0.0321,0.6669,0.3495,False,2026-08-11 18:55:19
137,137,Artefacts_A_Var_Copyrright_L_Ling/A1c33b.jpg,0.033,0.9837,0.5084,False,2026-08-11 18:55:19
138,138,Artefacts_A_Var_Copyrright_L_Ling/A1b8_1.jpg,0.9108,0.9269,0.9188,False,2026-08-11 18:55:19
139,139,Artefacts_A_Var_Copyrright_L_Ling/A1c215_1.jpg,0.0888,0.9797,0.5342,False,2026-08-11 18:55:19
140,140,Artefacts_A_Var_Copyrright_L_Ling/A1f17_2b.jpg,0.0311,0.9479,0.4895,False,2026-08-11 18:55:19
141,141,Artefacts_A_Var_Copyrright_L_Ling/A1c250_1.jpg,0.0695,0.9182,0.4938,False,2026-08-11 18:55:19
142,142,Artefacts_A_Var_Copyrright_L_Ling/A1c33c.jpg,0.0193,0.9986,0.509,False,2026-08-11 18:55:19
143,143,Artefacts_A_Var_Copyrright_L_Ling/A1c32.jpg,0.7196,0.9889,0.8542,False,2026-08-11 18:55:19
144,144,Artefacts_A_Var_Copyrright_L_Ling/A1d40.jpg,1,0.8847,0.9424,False,2026-08-11 18:55:19
145,145,Artefacts_A_Var_Copyrright_L_Ling/A1c271b.jpg,0.0937,0.9214,0.5075,False,2026-08-11 18:55:19
146,146,Artefacts_A_Var_Copyrright_L_Ling/A1b46.jpg,0.8973,0.9639,0.9306,False,2026-08-11 18:55:19
147,147,Artefacts_A_Var_Copyrright_L_Ling/A1e20.jpg,0.1901,0.9201,0.5551,False,2026-08-11 18:55:19
148,148,Artefacts_A_Var_Copyrright_L_Ling/A1e34.jpg,0.4944,0.985,0.7397,False,2026-08-11 18:55:19
149,149,Artefacts_A_Var_Copyrright_L_Ling/A1b52.jpg,0.7461,0.9479,0.847,False,2026-08-11 18:55:19
150,150,Artefacts_A_Var_Copyrright_L_Ling/A1e41l.jpg,0.0679,0.6926,0.3802,False,2026-08-11 18:55:19
151,151,Artefacts_A_Var_Copyrright_L_Ling/A1c197b.jpg,0.1101,0.9794,0.5448,False,2026-08-11 18:55:19
152,152,Artefacts_A_Var_Copyrright_L_Ling/A1c2.jpg,0.3444,0.9932,0.6688,False,2026-08-11 18:55:19
153,153,Artefacts_A_Var_Copyrright_L_Ling/A1e41n.jpg,0.2966,0.9008,0.5987,False,2026-08-11 18:55:19
154,154,Artefacts_A_Var_Copyrright_L_Ling/A1e41y.jpg,0.1063,0.8868,0.4966,False,2026-08-11 18:55:19
155,155,Artefacts_A_Var_Copyrright_L_Ling/A1c206b.jpg,0.2545,0.9543,0.6044,False,2026-08-11 18:55:19
